"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"AC12",33,46.2,10.0627918209628,0.900624,2.57899383846176,7.9343056342081,4,1,0.737591380291509,0.304933085483721,0.24912402758365,0.3675625,0.172,0.302,86,0.172,0.099376,0.806,0.998053435114504,2.0220207086574,0,0.166
"AC2",37,75,2.56457602429166,0.610072,1.67805532562993,9.22460118343268,1,1,0.464717106903468,0.0693128655213963,0.315717870766108,0.264222222222222,0.604,0.744,302,0.604,0.389928,0.882,0.998872519083969,2.05283697211478,0,0.084
"AC3",48,65.1428571428571,12.477540427231,0.919856,2.93695539757597,13.0818341467569,5,1,0.758667759514554,0.259948758900646,0.326204120733671,0.40068085106383,0.158,0.282,79,0.158,0.080144,0.728,0.997202290076336,2.02885735770647,0,0.184
"AC4",60,81,12.4750499001996,0.91984,3.12075795067569,17.8029306647198,5,0.996066666666667,0.762211851799296,0.20791749833666,0.367023880339486,0.425084745762712,0.208,0.322,104,0.208,0.08016,0.686,0.996470229007633,2.0294111589515,0,0.224
"AC5",34,40.1111111111111,5.2424089917799,0.809248,2.17086434420545,8.25119379193406,2,1,0.61561043717779,0.154188499758232,0.290816135787006,0.308121212121212,0.298,0.58,149,0.298,0.190752,0.874,0.998580916030534,2.04888122622481,0,0.0980000000000001
"AC6",61,93.5,14.4542090656799,0.930816,3.12817100215537,18.2206596587496,5,1,0.760950373451666,0.236954246978359,0.349696342277064,0.396833333333333,0.148,0.256,74,0.148,0.069184,0.608,0.996540458015268,2.05023884994927,0,0.21
"AC7",26,33.2,3.2323963693724,0.690632,1.70227747460293,5.82414534638328,2,1,0.522476069919236,0.124322937283554,0.265842692607237,0.2776,0.48,0.748,240,0.48,0.309368,0.936,0.99907251908397,2.04183368646648,0,0.04
"AC8",36,45,9.38861348955986,0.893488,2.67271496313964,8.8963555969873,4,1,0.745835311335379,0.260794819154441,0.299571268000002,0.419885714285714,0.21,0.374,105,0.21,0.106512,0.79,0.997882442748091,2.03354514924771,0,0.142
"AC9",33,39.1111111111111,2.11294984702243,0.526728,1.50989211460294,7.9343056342081,1,1,0.43182864274135,0.064028783243104,0.344320962804772,0.2584375,0.68,0.752,340,0.68,0.473272,0.89,0.998963358778626,2.05025944818133,0,0.0659999999999999
"AD1",79,88.0666666666667,20.9907640638119,0.95236,3.72792449584031,26.3964726262447,11,0.952962025316456,0.8531797658909,0.265705874225467,0.508145341692255,0.574435897435898,0.174,0.22,87,0.174,0.04764,0.416,0.993383969465647,2.03218180499193,0,0.504
"AD10",48,53.625,6.87341911360387,0.854512,2.79093075875399,13.0818341467569,3,1,0.720947000915213,0.143196231533414,0.413459065367709,0.468425531914894,0.346,0.45,173,0.346,0.145488,0.6,0.997053435114505,2.03055543626369,0,0.28
"AD11",61,74.9090909090909,12.466340879625,0.919784,3.12939875718119,18.2206596587496,4,1,0.761249033801358,0.204366243928279,0.405605799952444,0.445233333333333,0.178,0.316,89,0.178,0.080216,0.606,0.996309160305342,2.05369765866441,0,0.172
"AD12",45,50,3.08041105005052,0.675368,2.08967936500024,11.9852360367687,1,1,0.548953150066721,0.0684535788900115,0.423825752399957,0.350454545454545,0.556,0.656,278,0.556,0.324632,0.226,0.998052671755725,2.05150382498477,0,0.174
"AD2",43,48.5,8.92538379150303,0.88796,2.73407381381443,11.2727283541363,4,1,0.726915274304746,0.207567064918675,0.33499251005661,0.403428571428571,0.25,0.39,125,0.25,0.11204,0.662,0.997638931297709,2.02635675263638,0,0.284
"AD3",60,64.4,14.1147244805781,0.929152,3.26342564809093,17.8029306647198,6,0.998033333333333,0.797056915581083,0.235245408009636,0.429084490020558,0.496949152542373,0.198,0.288,99,0.198,0.070848,0.402,0.995891603053435,2.04855621964771,0,0.344
"AD4",57,59.4,17.8954903364352,0.94412,3.35757186880427,16.5722446054023,7,1,0.830454932767295,0.313955970814653,0.431488286945677,0.517142857142857,0.15,0.234,75,0.15,0.05588,0.462,0.995727480916031,2.03733744465342,0,0.31
"AD5",52,63.1428571428571,9.79163402788657,0.897872,3.00413555739949,14.5959186261464,4,1,0.760301254835789,0.188300654382434,0.403289011498982,0.497098039215686,0.224,0.422,112,0.224,0.102128,0.452,0.996591603053435,2.01501197964965,0,0.256
"AD6",49,50.0714285714286,8.22639025995393,0.87844,2.8480794797178,13.4547867383819,3,1,0.731811661782139,0.167885515509264,0.440947133382644,0.456166666666667,0.276,0.44,138,0.276,0.12156,0.52,0.996979389312977,2.0409158504742,0,0.194
"AD7",60,69.5454545454545,11.7780081032696,0.915096,3.20181380234629,17.8029306647198,5,1,0.782008879245031,0.196300135054493,0.420080160208555,0.492881355932203,0.242,0.33,121,0.242,0.084904,0.644,0.995991603053435,2.03215047782067,0,0.244
"AD8",60,69.5454545454545,10.3485387863234,0.903368,3.05612179983549,17.8029306647198,4,1,0.746425161192799,0.172475646438723,0.436557577649644,0.452881355932203,0.22,0.37,110,0.22,0.096632,0.546,0.99629465648855,2.05217213284197,0,0.232
"AD9",79,93,28.735632183908,0.9652,3.80476142063941,26.3964726262447,12,0.998025316455696,0.870764808073226,0.36374217954314,0.469531919071465,0.573717948717949,0.116,0.172,58,0.116,0.0348,0.272,0.993336641221376,2.03579522877769,0,0.564
"AE1",72,97.3,21.0296096904441,0.952448,3.51355215357526,23.067382512027,7,0.992277777777778,0.821563352339424,0.29207791236728,0.426109757196235,0.491380281690141,0.098,0.192,49,0.098,0.047552,0.566,0.994922137404581,2.04962986154103,0,0.344
"AE10",63,76.5714285714286,5.85919190025312,0.829328,2.67532208319669,19.0675302543724,2,0.998031746031746,0.64572413398846,0.0930030460357638,0.459033894144979,0.395387096774194,0.294,0.574,147,0.294,0.170672,0.396,0.996771755725191,2.05432020565952,0,0.294
"AE11",31,83.5,3.59205724302422,0.721608,1.78039602727386,7.31199795604009,2,1,0.518463209457647,0.115872814291104,0.276959744001076,0.258866666666667,0.386,0.732,193,0.386,0.278392,0.58,0.998955725190839,2.0485132778308,0,0.056
"AE12",23,30,3.79916114521914,0.736784,1.88802222296267,4.97915920071674,2,1,0.602145018597392,0.165180919357354,0.227584180183835,0.359545454545455,0.472,0.616,236,0.472,0.263216,0.92,0.998977099236641,1.99099046400046,0,0.028
"AE2",49,60.6666666666667,5.26581851883057,0.810096,2.59700223902899,13.4547867383819,3,1,0.667297572883764,0.107465684057767,0.374682321412543,0.415333333333333,0.414,0.474,207,0.414,0.189904,0.744,0.997445038167939,2.03934708348451,0,0.138
"AE3",56,60.2,24.7720967102656,0.959632,3.55523691764469,16.1695142712059,9,1,0.88321150319052,0.442358869826171,0.502125053327136,0.598690909090909,0.086,0.17,43,0.086,0.040368,0.498,0.994847328244274,1.99851450624191,0,0.368
"AE4",54,71.7692307692308,10.118999433336,0.901176,2.79476845717555,15.3752619859277,4,0.986333333333333,0.700621618074078,0.187388878395112,0.341748212074541,0.341433962264151,0.184,0.328,92,0.184,0.098824,0.704,0.997353435114504,2.05644884387219,0,0.142
"AE5",51,57,15.5666251556662,0.93576,3.28815880959239,14.2118268069773,7,1,0.836293141340059,0.30522794422875,0.431847389336067,0.54724,0.194,0.258,97,0.194,0.06424,0.606,0.995911450381678,1.99690617538623,0,0.328
"AE6",22,29,3.3270341486785,0.699432,1.70106562581314,4.7056775666431,2,1,0.55032101677057,0.151228824939932,0.245205546461022,0.283809523809524,0.49,0.692,245,0.49,0.300568,0.616,0.999131297709924,2.03193138155568,0,0.032
"AE7",67,105,28.0017921146953,0.964288,3.65719760689476,20.8068199007886,10,0.988179104477612,0.869789527545652,0.417937195741722,0.418926785759546,0.559787878787879,0.072,0.144,36,0.072,0.035712,0.416,0.994425954198475,2.02177092546761,0,0.468
"AE8",20,24.2,1.74162626093741,0.425824,1.10065427767984,4.17128013640499,1,1,0.367407424019929,0.0870813130468706,0.253980069769489,0.221052631578947,0.75,0.84,375,0.75,0.574176,0.858,0.999435114503817,2.04831445161079,0,0.13
"AE9",34,34.4285714285714,6.27510040160643,0.84064,2.56850798558489,8.25119379193406,3,1,0.728373621373972,0.184561776517836,0.396141694336374,0.474424242424242,0.362,0.448,181,0.362,0.15936,0.314,0.997823664122137,1.97281251918912,0,0.284
"AF1",31,47.5,2.33924694962198,0.572512,1.54217598603979,7.31199795604009,1,1,0.449091943040889,0.0754595790200638,0.322120801418289,0.252666666666667,0.634,0.782,317,0.634,0.427488,0.718,0.99901679389313,2.05098590716839,0,0.104
"AF10",33,38.625,6.83358845396895,0.853664,2.33222210168026,7.9343056342081,3,1,0.667014745622943,0.207078437999059,0.276236641372957,0.3421875,0.23,0.432,115,0.23,0.146336,0.67,0.998437404580152,2.04539508888501,0,0.0499999999999999
"AF11",32,77.5,2.58424643373992,0.61304,1.76647530659307,7.6212341912171,1,1,0.509697032934927,0.0807577010543725,0.296808572558299,0.347870967741935,0.612,0.686,306,0.612,0.38696,0.794,0.998774045801527,1.96063546235098,0,0.172
"AF12",45,60.1666666666667,6.93173626129873,0.855736,2.62589644000317,11.9852360367687,3,1,0.689815933789708,0.154038583584416,0.344268019899629,0.394318181818182,0.324,0.456,162,0.324,0.144264,0.746,0.997711450381679,2.03781703364344,0,0.204
"AF2",26,31.25,3.04032689594785,0.671088,1.83632029476214,5.82414534638328,1,1,0.563617521252843,0.116935649844148,0.280753998649343,0.356,0.556,0.628,278,0.556,0.328912,0.86,0.99887251908397,1.99635622235314,0,0.114
"AF3",30,48.2,3.02714745840699,0.669656,1.61687701087433,7.00661746431841,2,1,0.475384645299287,0.100904915280233,0.284279907222683,0.246896551724138,0.472,0.794,236,0.472,0.330344,0.884,0.999067938931297,2.03965175865554,0,0.098
"AF4",29,41,2.74453836864639,0.63564,1.79135125615562,6.7051154650831,1,1,0.531985114050052,0.094639254091255,0.306390522419167,0.339642857142857,0.59,0.678,295,0.59,0.36436,0.784,0.99882748091603,2.03816501049553,0,0.186
"AF5",41,52.6666666666667,3.34600353337973,0.701136,2.12515558419611,10.5750911470184,1,1,0.572267225739374,0.0816098422775544,0.33682521018252,0.36645,0.534,0.592,267,0.534,0.298864,0.798,0.99824427480916,1.99759468362225,0,0.126
"AF6",34,45.1428571428571,1.83677667734446,0.455568,1.36645254581978,8.25119379193406,1,1,0.387496552403278,0.0540228434513077,0.365799318156769,0.246060606060606,0.734,0.786,367,0.734,0.544432,0.82,0.998983969465649,2.05741349620166,0,0.128
"AF7",23,25.5,3.04484446934451,0.671576,1.61340865596116,4.97915920071674,1,1,0.514562791334333,0.132384542145413,0.262521332167704,0.270727272727273,0.5,0.768,250,0.5,0.328424,0.856,0.999167175572519,2.01257757465639,0,0.11
"AF8",53,83,5.50127629610069,0.818224,2.64814429655409,14.983729049146,3,1,0.666989821961192,0.103797665964164,0.369384094322002,0.410692307692308,0.402,0.49,201,0.402,0.181776,0.668,0.997298473282443,2.04406037906307,0,0.252
"AF9",27,30,2.05133254562164,0.512512,1.45933130240061,6.11385018962284,1,1,0.442780198696489,0.075975279467468,0.322322130307819,0.291923076923077,0.692,0.748,346,0.692,0.487488,0.794,0.99906106870229,2.03830551280645,0,0.122
"AG1",68,85,26.0037445392136,0.961544,3.63010142092287,21.2512086742678,9,0.992117647058824,0.860313968966047,0.382408007929612,0.43597195931272,0.551522388059701,0.08,0.154,40,0.08,0.038456,0.288,0.9945,2.03645948971056,0,0.548
"AG10",24,37,1.17078470674185,0.145872,0.494934198983917,5.25676062752235,1,1,0.15573499550501,0.0487826961142436,0.361510351395279,0.079304347826087,0.924,0.934,462,0.924,0.854128,0.962,0.999556488549618,2.05891639826833,0,0.0299999999999999
"AG11",48,54.4285714285714,8.25572947625652,0.878872,2.85606144824623,13.0818341467569,3,1,0.737771415175472,0.171994364088678,0.41223543524235,0.476595744680851,0.254,0.466,127,0.254,0.121128,0.142,0.996959541984733,2.03650128177304,0,0.306
"AG12",68,83.5454545454545,30.6974459724951,0.967424,3.69637488495169,21.2512086742678,11,0.994088235294118,0.876020413570358,0.451433029007281,0.413800241559892,0.551641791044776,0.072,0.13,36,0.072,0.032576,0.36,0.994229007633589,1.97250198011593,0,0.44
"AG2",50,60.9285714285714,10.4149308448592,0.903984,2.80996637512438,13.8314503561302,4,1,0.718289839099974,0.208298616897184,0.325248129651234,0.361224489795918,0.194,0.328,97,0.194,0.096016,0.38,0.997448091603053,2.05059125547722,0,0.594
"AG3",56,71.1111111111111,11.0756689704058,0.909712,3.03307998224717,16.1695142712059,4,1,0.753494406272174,0.197779803042961,0.382714388318848,0.438254545454546,0.224,0.34,112,0.224,0.090288,0.39,0.996692366412214,2.04284152361831,0,0.262
"AG4",66,74,23.6339572698053,0.957688,3.56148091772856,20.3662684625684,8,1,0.850065491555509,0.358090261663716,0.426040050295466,0.540923076923077,0.094,0.178,47,0.094,0.042312,0.304,0.994853435114504,2.04358785403852,0,0.458
"AG5",49,86.5,1.84580853797197,0.458232,1.50417840669959,13.4547867383819,1,1,0.386497394915646,0.037669561999428,0.449647406803847,0.264208333333333,0.734,0.76,367,0.734,0.541768,0.146,0.998458778625954,2.05832919431286,0,0.098
"AG6",29,68,8.7861109158642,0.886184,2.45973988141978,6.7051154650831,4,1,0.730479294250086,0.302969341926352,0.219859232284367,0.399142857142857,0.212,0.354,106,0.212,0.113816,0.61,0.998321374045802,1.98808410275259,0,0.088
"AG7",71,98.3529411764706,4.93895452210676,0.797528,2.72212341983872,22.6075206068294,3,1,0.63859438155326,0.0695627397479825,0.443146706436803,0.384342857142857,0.434,0.496,217,0.434,0.202472,0.288,0.996508396946565,2.05550729988384,0,0.236
"AG8",60,72.2142857142857,13.4872680189901,0.925856,3.12647491457619,17.8029306647198,5,1,0.763608159270155,0.224787800316501,0.378606259560311,0.418305084745763,0.156,0.298,78,0.156,0.074144,0.226,0.99647786259542,2.04657026029545,0,0.536
"AG9",52,64.3636363636364,5.06975989617132,0.802752,2.59788122262623,14.5959186261464,3,0.998038461538462,0.657484429626355,0.0974953826186792,0.385602707347454,0.40643137254902,0.424,0.49,212,0.424,0.197248,0.304,0.997346564885496,2.04723283655606,0,0.16
"AH1",71,106.428571428571,3.75465577315872,0.733664,2.54269950864199,22.6075206068294,1,0.996056338028169,0.596502571618597,0.0528824756782918,0.469413968115739,0.404285714285714,0.508,0.55,254,0.508,0.266336,0.63,0.996546564885495,2.05593137063448,0,0.292
"AH10",78,132.666666666667,4.20747921505268,0.762328,2.63960587269341,25.9089907745486,2,0.994076923076923,0.605871536909455,0.0539420412186241,0.468134352722705,0.373818181818182,0.476,0.538,238,0.476,0.237672,0.66,0.996317557251908,2.05154391973746,0,0.308
"AH11",64,89.3,5.11707876207631,0.804576,2.7654124139154,19.4966321024201,3,1,0.664941129261422,0.0799543556574423,0.4395767602452,0.435047619047619,0.428,0.476,214,0.428,0.195424,0.556,0.996496183206109,2.04057310642339,0,0.37
"AH12",64,73.7142857142857,13.8121546961326,0.9276,3.3120981849867,19.4966321024201,7,1,0.796391271069609,0.215814917127072,0.420272262021054,0.500190476190476,0.214,0.302,107,0.214,0.0724,0.512,0.995626717557251,2.03841044903954,0,0.372
"AH2",37,47.5,2.03938459530452,0.509656,1.50099276333495,9.22460118343268,1,1,0.415681773899921,0.0551185025757979,0.360654096737908,0.259111111111111,0.694,0.762,347,0.694,0.490344,0.788,0.998887022900763,2.0478985439257,0,0.176
"AH3",34,49,2.33784693648537,0.572256,1.50845585801626,8.25119379193406,1,1,0.42776563754225,0.0687602040142757,0.322415664760456,0.216606060606061,0.632,0.784,316,0.632,0.427744,0.666,0.999045801526718,2.05293338183262,0,0.154
"AH4",54,85.625,3.13047833708991,0.68056,2.19568265403863,15.3752619859277,1,1,0.550436559386539,0.0579718210572205,0.413229366256593,0.353660377358491,0.556,0.62,278,0.556,0.31944,0.658,0.997725954198473,2.04610075831321,0,0.268
"AH5",46,73.1428571428571,7.80323366002872,0.871848,2.60712002783684,12.3470586394951,3,1,0.680951741844404,0.16963551434845,0.312446767447296,0.361777777777778,0.248,0.422,124,0.248,0.128152,0.69,0.99784427480916,2.04258129178587,0,0.212
"AH6",47,68.375,3.83565006597318,0.739288,2.23357992958577,12.7125915328151,2,1,0.580128390037234,0.0816095758717698,0.363728601785567,0.335521739130435,0.488,0.578,244,0.488,0.260712,0.746,0.998070229007634,2.05392954932996,0,0.21
"AH7",47,53.5,2.96834556291705,0.663112,2.06915737578674,12.7125915328151,1,1,0.537422870455075,0.0631562885727033,0.40891580557066,0.345,0.57,0.64,285,0.57,0.336888,0.716,0.998074045801526,2.04662599128328,0,0.228
"AH8",26,28.1,1.97737878668038,0.49428,1.27461494721481,5.82414534638328,1,1,0.39121460409176,0.0760530302569376,0.306500549118929,0.20064,0.698,0.8,349,0.698,0.50572,0.724,0.999269465648855,2.05110147306988,0,0.238
"AH9",55,83.875,4.74815771480666,0.789392,2.54498098907679,15.7705219969817,3,1,0.635080955697761,0.0863301402692119,0.383776917879597,0.374259259259259,0.44,0.498,220,0.44,0.210608,0.692,0.997392366412214,2.04081505956453,0,0.23
"AI1",16,16.5,1.92788179771122,0.481296,1.08687943803989,3.1545409769796,1,1,0.392008893826083,0.120492612356951,0.22836445866018,0.203733333333333,0.7,0.838,350,0.7,0.518704,0.732,0.999504580152672,2.0392999130814,0,0.268
"AI10",25,49,2.01967975957732,0.504872,1.16192413682731,5.5384363942988,1,1,0.360972028759414,0.0807871903830928,0.253653982805034,0.15625,0.68,0.828,340,0.68,0.495128,0.71,0.999406106870229,2.05352596122959,0,0.28
"AI11",23,30,1.91210438560262,0.477016,1.19699995830838,4.97915920071674,1,1,0.381757986421183,0.0831349732870704,0.276777371032397,0.195454545454545,0.71,0.81,355,0.71,0.522984,0.732,0.999361832061069,2.04563148027514,0,0.234
"AI12",32,62,2.23294033583423,0.55216,1.45899398521405,7.6212341912171,1,1,0.420976677431026,0.0697793854948196,0.309383336225204,0.213161290322581,0.652,0.772,326,0.652,0.44784,0.722,0.999103053435114,2.05684739803031,0,0.24
"AI2",63,75.65,4.58867148783084,0.782072,2.50818286872816,19.0675302543724,2,1,0.60538288864979,0.0728360553623943,0.443532474739989,0.340774193548387,0.44,0.544,220,0.44,0.217928,0.588,0.997169465648855,2.05877505553281,0,0.38
"AI3",19,46.5,1.92621814035196,0.480848,1.10227846713561,3.91048181046976,1,1,0.37435941954812,0.101379902123787,0.21130187200894,0.187111111111111,0.702,0.824,351,0.702,0.519152,0.758,0.999490076335878,2.04666263269641,0,0.242
"AI4",35,75,2.4506920754421,0.591952,1.67449112702213,8.57188206196835,1,1,0.470978114677371,0.0700197735840601,0.322132264700042,0.275,0.626,0.708,313,0.626,0.408048,0.754,0.998848854961832,2.05346274058993,0,0.232
"AI5",26,32.1111111111111,1.98819805633758,0.497032,1.22822296090397,5.82414534638328,1,1,0.376975619528396,0.0764691560129839,0.282660453102239,0.17984,0.692,0.82,346,0.692,0.502968,0.738,0.999333587786259,2.05418867742535,0,0.258
"AI6",26,29,1.92233756247597,0.4798,1.29051161205281,5.82414534638328,1,1,0.396093730493478,0.0739360600952297,0.313980286198033,0.2256,0.712,0.804,356,0.712,0.5202,0.79,0.99923893129771,2.04183368646648,0,0.194
"AI7",34,47,2.50878073256397,0.6014,1.62874539829401,8.25119379193406,1,1,0.461877163983764,0.0737876686048228,0.335815424331763,0.239878787878788,0.61,0.746,305,0.61,0.3986,0.678,0.998917557251908,2.05741349620166,0,0.296
"AI8",24,29.25,2.39904805773069,0.583168,1.48704459438302,5.25676062752235,1,1,0.467910448898913,0.0999603357387789,0.280703348330342,0.249739130434783,0.624,0.758,312,0.624,0.416832,0.704,0.999195419847328,2.04896954485803,0,0.29
"AI9",35,66.6666666666667,2.00732271325797,0.501824,1.35494441200672,8.57188206196835,1,1,0.381100356019461,0.0573520775216562,0.332149660984903,0.192647058823529,0.694,0.784,347,0.694,0.498176,0.762,0.99910534351145,2.05346274058993,0,0.226
"AJ1",52,94.1666666666667,9.27988121752042,0.89224,2.76141620557659,14.5959186261464,4,1,0.698872659408616,0.178459254183085,0.331095319910991,0.354666666666667,0.23,0.364,115,0.23,0.10776,0.476,0.997474045801527,2.0538650484975,0,0.348
"AJ10",89,141,26.8643885665162,0.962776,3.74838415142845,31.4946732840195,10,1,0.835083050323396,0.301847062545126,0.423159344533978,0.479818181818182,0.104,0.178,52,0.104,0.037224,0.178,0.99364961832061,2.04120056399444,0,0.566
"AJ11",81,94.3157894736842,24.0662302656912,0.958448,3.73976234705725,27.383478815112,11,0.976296296296296,0.85101959663839,0.297113953897422,0.463329466141171,0.53825,0.144,0.206,72,0.144,0.041552,0.148,0.993567938931296,2.01964794703354,0,0.59
"AJ12",85,131.866666666667,16.5169133192389,0.939456,3.56902300066397,29.4061474573189,9,1,0.803354302332407,0.194316627285164,0.425622847547133,0.483809523809524,0.204,0.258,102,0.204,0.060544,0.23,0.994189312977099,2.0414125989298,0,0.416
"AJ2",33,40.2,2.51955172135774,0.603104,1.66341312419085,7.9343056342081,1,1,0.475735600438167,0.0763500521623556,0.355909782471311,0.2566875,0.612,0.728,306,0.612,0.396896,0.658,0.998853435114504,2.0554444004425,0,0.29
"AJ3",63,96,13.4974624770543,0.925912,3.28325889107701,19.0675302543724,7,1,0.792457669832178,0.214245436143719,0.387960999590868,0.481354838709677,0.224,0.286,112,0.224,0.074088,0.422,0.995783969465649,2.03060371215173,0,0.442
"AJ4",87,157.909090909091,20.8437552109388,0.952024,3.64265064606675,30.4421015405515,9,0.994068965517241,0.815657319695181,0.239583393229182,0.425776787479372,0.478883720930233,0.156,0.22,78,0.156,0.047976,0.29,0.994058015267177,2.04230010260571,0,0.448
